_id,city,date,ad_count,avg_age,email_count,phone_count
6221455240741654807e19fe,SALEM,2022-02-26,16,25.875,0,10
6221455240741654807e19ff,WASHINGTON,2022-03-01,546,27.045787545787547,3,323
6221455240741654807e1a00,WENATCHEE,2022-02-25,16,26.0,0,13
6221455240741654807e1a01,LOWELL,2022-03-02,11,25.545454545454547,0,11
6221455240741654807e1a02,ST. CLOUD,2022-03-02,13,26.384615384615383,0,13
6221455240741654807e1a03,ABILENE,2022-02-28,37,26.594594594594593,0,30
6221455240741654807e1a04,LOWELL,2022-02-25,14,25.357142857142858,0,13
6221455240741654807e1a05,FARMINGTON,2022-02-28,12,25.666666666666668,0,10
6221455240741654807e1a06,LAFAYETTE,2022-02-28,71,26.366197183098592,1,53
6221455240741654807e1a07,WACO,2022-02-28,61,26.34426229508197,0,50
6221455240741654807e1a08,GREENSBORO,2022-02-25,158,27.11392405063291,0,120
6221455240741654807e1a09,FORT DODGE,2022-02-26,4,25.0,0,3
6221455240741654807e1a0a,BUTTE,2022-02-26,1,27.0,0,1
6221455240741654807e1a0b,TAMPA,2022-02-26,799,29.331664580725906,3,533
6221455240741654807e1a0c,NEW BEDFORD,2022-02-28,8,28.0,0,7
6221455240741654807e1a0d,ST. GEORGE,2022-02-28,9,27.88888888888889,0,6
6221455240741654807e1a0e,GLENS FALLS,2022-02-28,10,26.6,0,8
6221455240741654807e1a0f,MEDFORD,2022-03-01,6,24.5,0,4
6221455240741654807e1a10,MEADVILLE,2022-03-02,13,25.923076923076923,0,13
6221455240741654807e1a11,SCRANTON,2022-03-02,20,26.05,0,20
6221455240741654807e1a12,MINNEAPOLIS,2022-02-25,406,27.85960591133005,1,260
6221455240741654807e1a13,TALLAHASSEE,2022-02-25,31,26.677419354838708,1,28
6221455240741654807e1a14,VICTORIA,2022-02-26,32,26.875,0,26
6221455240741654807e1a15,VANCOUVER,2022-03-02,2,24.5,0,2
6221455240741654807e1a16,CHEYENNE,2022-02-28,1,26.0,0,1
6221455240741654807e1a17,OGDEN,2022-02-25,10,23.5,0,7
6221455240741654807e1a18,DENVER,2022-02-28,517,27.851063829787233,2,322
6221455240741654807e1a19,SAN DIEGO,2022-02-28,595,26.544537815126052,1,379
6221455240741654807e1a1a,LA CROSSE,2022-03-01,12,28.5,0,10
6221455240741654807e1a1b,ST. CLOUD,2022-02-28,24,25.583333333333332,0,17
6221455240741654807e1a1c,ALLENTOWN,2022-02-25,66,25.742424242424242,0,48
6221455240741654807e1a1d,FARGO,2022-02-25,3,27.333333333333332,0,2
6221455240741654807e1a1e,MATTOON,2022-02-27,13,28.76923076923077,0,10
6221455240741654807e1a1f,FORT WAYNE,2022-03-01,19,26.31578947368421,0,15
6221455240741654807e1a20,OLYMPIA,2022-03-02,34,26.147058823529413,0,30
6221455240741654807e1a21,OCALA,2022-02-27,41,30.75609756097561,1,34
6221455240741654807e1a22,WICHITA FALLS,2022-02-27,25,24.92,0,20
6221455240741654807e1a23,VALDOSTA,2022-02-25,42,26.476190476190474,0,34
6221455240741654807e1a24,DAYTONA BEACH,2022-02-28,102,27.08823529411765,1,86
6221455240741654807e1a25,BOISE,2022-02-26,6,25.166666666666668,0,5
6221455240741654807e1a26,NEWPORT NEWS,2022-02-26,30,26.8,1,25
6221455240741654807e1a27,ESSEX,2022-03-01,1,26.0,0,1
6221455240741654807e1a28,SEATTLE,2022-02-25,384,25.421875,2,228
6221455240741654807e1a29,NEWPORT NEWS,2022-02-27,31,28.032258064516128,1,24
6221455240741654807e1a2a,FAYETTEVILLE,2022-02-25,91,26.736263736263737,0,70
6221455240741654807e1a2b,BUTTE,2022-03-02,1,24.0,0,1
6221455240741654807e1a2c,DULUTH,2022-02-26,9,26.11111111111111,0,7
6221455240741654807e1a2d,KNOXVILLE,2022-02-26,72,26.59722222222222,0,52
6221455240741654807e1a2e,BOZEMAN,2022-02-28,1,24.0,0,1
6221455240741654807e1a2f,HARRISONBURG,2022-02-26,18,26.22222222222222,1,17
6221455240741654807e1a30,RICHMOND,2022-02-27,191,26.921465968586386,1,132
6221455240741654807e1a31,ALBANY,2022-02-27,112,27.196428571428573,0,90
6221455240741654807e1a32,PALM CITY,2022-02-27,40,29.35,2,35
6221455240741654807e1a33,BROCKTON,2022-02-27,12,27.583333333333332,0,10
6221455240741654807e1a34,MOBILE,2022-02-25,204,28.715686274509803,0,187
6221455240741654807e1a35,COLORADO SPRINGS,2022-02-28,55,26.181818181818183,0,40
6221455240741654807e1a36,CHICO,2022-02-26,46,26.456521739130434,0,37
6221455240741654807e1a37,WORCESTER,2022-03-01,15,26.866666666666667,0,11
6221455240741654807e1a38,EAST STROUDSBURG,2022-03-01,14,28.785714285714285,0,13
6221455240741654807e1a39,CHICO,2022-03-01,43,25.88372093023256,0,33
6221455240741654807e1a3a,EAU CLAIRE,2022-03-02,17,27.705882352941178,0,16
6221455240741654807e1a3b,PITTSBURGH,2022-03-02,132,27.575757575757574,0,128
6221455240741654807e1a3c,LINCOLN,2022-02-27,1,24.0,0,1
6221455240741654807e1a3d,ODESSA,2022-02-25,110,26.5,0,77
6221455240741654807e1a3e,REDDING,2022-03-02,29,27.24137931034483,0,28
6221455240741654807e1a3f,DES MOINES,2022-02-27,11,27.09090909090909,0,9
6221455240741654807e1a40,LOUISVILLE,2022-03-01,294,29.272108843537413,0,193
6221455240741654807e1a41,MISSOULA,2022-03-01,1,27.0,0,1
6221455240741654807e1a42,SUFFOLK,2022-02-27,15,25.6,1,13
6221455240741654807e1a43,NORTH MISSISSIPPI,2022-03-02,19,27.210526315789473,0,18
6221455240741654807e1a44,STILLWATER,2022-02-27,7,26.428571428571427,0,5
6221455240741654807e1a45,DANVILLE,2022-03-01,25,26.32,0,19
6221455240741654807e1a46,ALBUQUERQUE,2022-02-26,29,26.17241379310345,0,18
6221455240741654807e1a47,JERSEY SHORE,2022-02-28,56,26.089285714285715,0,44
6221455240741654807e1a48,SAN ANTONIO,2022-03-01,532,28.015037593984964,2,361
6221455240741654807e1a49,LONGVIEW,2022-02-27,23,26.782608695652176,0,20
6221455240741654807e1a4a,HALIFAX,2022-02-27,2,43.5,0,2
6221455240741654807e1a4b,DULUTH,2022-02-27,16,25.9375,0,10
6221455240741654807e1a4c,MINOT,2022-02-25,2,28.0,0,1
6221455240741654807e1a4d,SYRACUSE,2022-02-25,12,26.666666666666668,0,10
6221455240741654807e1a4e,FREDERICKSBURG,2022-02-28,23,25.434782608695652,1,17
6221455240741654807e1a4f,TUCSON,2022-02-27,80,27.925,0,56
6221455240741654807e1a50,GREAT FALLS,2022-02-26,5,27.2,0,4
6221455240741654807e1a51,ELMIRA,2022-02-28,22,26.727272727272727,0,18
6221455240741654807e1a52,LAWRENCE,2022-02-26,3,26.0,0,2
6221455240741654807e1a53,OSHAWA,2022-02-26,6,25.333333333333332,0,6
6221455240741654807e1a54,LAWTON,2022-02-25,6,27.666666666666668,0,5
6221455240741654807e1a55,TERRE HAUTE,2022-02-27,6,24.166666666666668,0,4
6221455240741654807e1a56,AUSTIN,2022-02-27,527,27.282732447817835,1,339
6221455240741654807e1a57,FINGER LAKES,2022-02-26,10,26.1,1,7
6221455240741654807e1a58,YOUNGSTOWN,2022-02-27,18,26.61111111111111,0,14
6221455240741654807e1a59,MODESTO,2022-03-02,77,25.98701298701299,2,67
6221455240741654807e1a5a,MEDFORD,2022-02-27,8,24.875,0,6
6221455240741654807e1a5b,BELLINGHAM,2022-02-27,26,26.615384615384617,0,20
6221455240741654807e1a5c,ROCKFORD,2022-02-26,41,27.926829268292682,0,27
6221455240741654807e1a5d,MONTREAL,2022-02-26,8,34.125,0,7
6221455240741654807e1a5e,WILMINGTON,2022-02-26,136,25.669117647058822,0,77
6221455240741654807e1a5f,ALBANY,2022-02-26,134,26.932835820895523,1,105
6221455240741654807e1a60,EL PASO,2022-02-28,86,26.523255813953487,0,68
6221455240741654807e1a61,NEW YORK,2022-02-26,893,26.17693169092945,1,507
6221455240741654807e1a62,OWENSBORO,2022-02-28,5,24.6,0,4
6221455240741654807e1a63,BOSTON,2022-02-27,347,26.798270893371757,1,208
6221455240741654807e1a64,PROVO,2022-02-25,10,25.5,0,6
6221455240741654807e1a65,LIMA,2022-02-27,18,26.833333333333332,0,15
