_id,date,state,ad_count,avg_age,email_count,phone_count
6221458840741654807e2418,2022-02-28,NEVADA,1229,26.219690805532952,3,699
6221458840741654807e2419,2022-03-02,DISTRICT OF COLUMBIA,321,27.077881619937695,3,286
6221458840741654807e241a,2022-02-26,LOUISIANA,894,26.71923937360179,3,389
6221458840741654807e241b,2022-03-01,LOUISIANA,878,26.81662870159453,1,392
6221458840741654807e241c,2022-02-27,FLORIDA,4362,27.596286107290233,6,2161
6221458840741654807e241d,2022-03-02,NEVADA,665,26.765413533834586,2,555
6221458840741654807e241e,2022-02-25,TEXAS,6084,26.828073635765943,8,2790
6221458840741654807e241f,2022-02-26,MANITOBA,23,31.304347826086957,0,19
6221458840741654807e2420,2022-02-27,MARYLAND,770,26.324675324675326,0,431
6221458840741654807e2421,2022-02-27,TENNESSEE,1237,27.208569118835893,1,617
6221458840741654807e2422,2022-03-01,MAINE,6,25.833333333333332,0,5
6221458840741654807e2423,2022-03-01,ALBERTA,137,29.73722627737226,2,104
6221458840741654807e2424,2022-03-02,ARIZONA,485,29.10721649484536,0,405
6221458840741654807e2425,2022-02-25,IDAHO,4,26.25,0,3
6221458840741654807e2426,2022-02-28,MARYLAND,776,26.4020618556701,1,423
6221458840741654807e2427,2022-02-28,TENNESSEE,1309,27.212375859434683,1,644
6221458840741654807e2428,2022-02-25,DELAWARE,110,25.71818181818182,0,55
6221458840741654807e2429,2022-02-26,NORTH DAKOTA,6,32.666666666666664,0,4
6221458840741654807e242a,2022-02-28,ENGLAND,4,26.0,0,4
6221458840741654807e242b,2022-03-01,GEORGIA,2470,26.91497975708502,2,1284
6221458840741654807e242c,2022-03-02,DELAWARE,67,25.91044776119403,0,50
6221458840741654807e242d,2022-03-02,MISSOURI,206,28.12621359223301,0,150
6221458840741654807e242e,2022-02-26,ALBERTA,140,30.364285714285714,0,102
6221458840741654807e242f,2022-02-25,ARKANSAS,139,27.74820143884892,0,94
6221458840741654807e2430,2022-02-25,COLORADO,646,28.08049535603715,1,337
6221458840741654807e2431,2022-02-27,MICHIGAN,684,27.29385964912281,1,388
6221458840741654807e2432,2022-02-27,VIRGINIA,555,26.904504504504505,1,202
6221458840741654807e2433,2022-03-01,COLORADO,655,27.732824427480917,2,325
6221458840741654807e2434,2022-02-27,ENGLAND,2,26.0,0,2
6221458840741654807e2435,2022-02-28,MINNESOTA,402,27.385572139303484,1,230
6221458840741654807e2436,2022-02-25,MANITOBA,26,31.96153846153846,1,18
6221458840741654807e2437,2022-02-26,MINNESOTA,469,27.3091684434968,1,265
6221458840741654807e2438,2022-03-01,TENNESSEE,1217,27.08874281018899,1,613
6221458840741654807e2439,2022-02-27,ARIZONA,930,28.93978494623656,0,550
6221458840741654807e243a,2022-02-28,NORTH RHINE-WESTPHALIA,1,24.0,0,1
6221458840741654807e243b,2022-02-27,ALABAMA,476,27.93487394957983,0,291
6221458840741654807e243c,2022-02-25,PENNSYLVANIA,1290,26.672868217054262,0,632
6221458840741654807e243d,2022-02-26,BRITISH COLUMBIA,2,24.5,0,2
6221458840741654807e243e,2022-02-28,KENTUCKY,372,29.838709677419356,2,226
6221458840741654807e243f,2022-02-28,NEBRASKA,26,27.0,0,17
6221458840741654807e2440,2022-02-27,ILLINOIS,1282,27.017940717628704,3,701
6221458840741654807e2441,2022-03-01,RHODE ISLAND,26,28.307692307692307,0,20
6221458840741654807e2442,2022-03-02,QUEBEC,8,32.875,0,8
6221458840741654807e2443,2022-03-02,BRITISH COLUMBIA,2,24.5,0,2
6221458840741654807e2444,2022-02-26,NEW HAMPSHIRE,9,27.0,0,6
6221458840741654807e2445,2022-02-25,ARIZONA,947,28.654699049630413,0,551
6221458840741654807e2446,2022-02-28,ALABAMA,542,27.728782287822877,0,329
6221458840741654807e2447,2022-02-26,NEW YORK,1598,26.443679599499376,1,784
6221458840741654807e2448,2022-02-28,WASHINGTON,753,26.306772908366533,2,319
6221458840741654807e2449,2022-02-25,LOUISIANA,879,26.600682593856654,3,396
6221458840741654807e244a,2022-02-26,WISCONSIN,372,26.169354838709676,0,137
6221458840741654807e244b,2022-02-25,MISSISSIPPI,136,27.345588235294116,0,79
6221458840741654807e244c,2022-02-25,CONNECTICUT,47,26.02127659574468,0,21
6221458840741654807e244d,2022-02-26,MONTANA,21,28.761904761904763,0,8
6221458840741654807e244e,2022-02-25,IOWA,63,25.88888888888889,0,20
6221458840741654807e244f,2022-03-01,NEW JERSEY,505,26.631683168316833,0,245
6221458840741654807e2450,2022-03-01,MISSISSIPPI,155,26.980645161290322,0,82
6221458840741654807e2451,2022-02-27,VERMONT,2,25.0,0,2
6221458840741654807e2452,2022-02-28,ALBERTA,126,31.642857142857142,1,99
6221458840741654807e2453,2022-02-27,MASSACHUSETTS,409,26.74572127139364,1,228
6221458840741654807e2454,2022-03-01,NEW MEXICO,95,26.126315789473683,0,19
6221458840741654807e2455,2022-03-02,KANSAS,47,26.06382978723404,0,44
6221458840741654807e2456,2022-02-27,WISCONSIN,355,25.690140845070424,0,145
6221458840741654807e2457,2022-02-26,NEW JERSEY,473,26.405919661733616,0,207
6221458840741654807e2458,2022-02-26,ALABAMA,536,28.367537313432837,0,307
6221458840741654807e2459,2022-03-01,KANSAS,64,25.765625,0,43
6221458840741654807e245a,2022-02-27,SOUTH CAROLINA,643,27.388802488335926,1,302
6221458840741654807e245b,2022-03-01,UTAH,338,29.683431952662723,0,189
6221458840741654807e245c,2022-02-27,IOWA,46,27.282608695652176,0,16
6221458840741654807e245d,2022-03-02,ALBERTA,77,30.285714285714285,0,73
6221458840741654807e245e,2022-03-02,COLORADO,371,27.63611859838275,1,275
6221458840741654807e245f,2022-02-28,TEXAS,5718,26.694298705841202,5,2737
6221458840741654807e2460,2022-03-01,NORTH DAKOTA,8,34.0,0,6
6221458840741654807e2461,2022-02-27,OREGON,340,27.976470588235294,1,187
6221458840741654807e2462,2022-02-28,BRITISH COLUMBIA,7,25.714285714285715,0,7
6221458840741654807e2463,2022-03-01,ALABAMA,434,27.258064516129032,0,295
6221458840741654807e2464,2022-02-26,PENNSYLVANIA,1267,26.81767955801105,0,592
6221458840741654807e2465,2022-03-02,MISSISSIPPI,106,26.90566037735849,0,70
6221458840741654807e2466,2022-02-27,INDIANA,459,26.89760348583878,1,241
6221458840741654807e2467,2022-02-26,RHODE ISLAND,25,28.8,0,18
6221458840741654807e2468,2022-02-28,WYOMING,2,25.0,0,2
6221458840741654807e2469,2022-03-01,DELAWARE,101,26.02970297029703,0,57
6221458840741654807e246a,2022-02-25,WASHINGTON,886,26.099322799097067,2,355
6221458840741654807e246b,2022-03-01,MANITOBA,22,28.772727272727273,0,18
6221458840741654807e246c,2022-03-01,OHIO,1084,27.20848708487085,0,499
6221458840741654807e246d,2022-02-27,UTAH,277,29.342960288808666,1,146
6221458840741654807e246e,2022-02-25,NORTH DAKOTA,8,35.25,0,5
6221458840741654807e246f,2022-02-25,MASSACHUSETTS,451,27.044345898004433,2,240
6221458840741654807e2470,2022-02-25,NEVADA,1200,26.441666666666666,2,681
6221458840741654807e2471,2022-02-25,UTAH,357,28.949579831932773,1,190
6221458840741654807e2472,2022-02-26,OHIO,1092,27.141025641025642,0,518
6221458840741654807e2473,2022-03-02,OHIO,757,27.219286657859975,0,471
6221458840741654807e2474,2022-02-26,TEXAS,5900,26.82491525423729,6,2699
6221458840741654807e2475,2022-02-25,ALBERTA,137,30.21897810218978,0,112
6221458840741654807e2476,2022-02-26,NEBRASKA,22,26.90909090909091,0,13
6221458840741654807e2477,2022-02-26,FLORIDA,4587,27.708524089819054,6,2313
6221458840741654807e2478,2022-02-27,DISTRICT OF COLUMBIA,535,26.74018691588785,3,299
6221458840741654807e2479,2022-03-02,UTAH,222,29.693693693693692,0,175
6221458840741654807e247a,2022-02-26,IOWA,59,25.677966101694917,0,21
6221458840741654807e247b,2022-02-26,IDAHO,6,25.166666666666668,0,5
6221458840741654807e247c,2022-02-27,RHODE ISLAND,24,27.416666666666668,0,19
6221458840741654807e247d,2022-02-27,BRITISH COLUMBIA,2,26.0,0,2
6221458840741654807e247e,2022-02-25,DISTRICT OF COLUMBIA,562,26.889679715302492,3,308
6221458840741654807e247f,2022-02-27,MANITOBA,14,30.0,0,12
6221458840741654807e2480,2022-02-28,MASSACHUSETTS,478,26.736401673640167,1,266
6221458840741654807e2481,2022-02-28,CONNECTICUT,35,26.485714285714284,0,19
6221458840741654807e2482,2022-02-28,WEST VIRGINIA,14,26.714285714285715,0,3
6221458840741654807e2483,2022-03-01,MARYLAND,752,26.4468085106383,1,417
6221458840741654807e2484,2022-02-26,NEW MEXICO,98,26.132653061224488,0,23
6221458840741654807e2485,2022-02-28,HAWAII,23,24.652173913043477,0,14
6221458840741654807e2486,2022-03-01,WASHINGTON,747,26.012048192771083,2,311
6221458840741654807e2487,2022-03-02,ILLINOIS,776,27.033505154639176,2,645
6221458840741654807e2488,2022-02-26,MARYLAND,796,26.36934673366834,0,429
6221458840741654807e2489,2022-02-26,ARIZONA,972,28.355967078189302,1,565
6221458840741654807e248a,2022-02-26,ILLINOIS,1380,26.88695652173913,2,775
6221458840741654807e248b,2022-02-28,NEW BRUNSWICK,1,21.0,0,1
6221458840741654807e248c,2022-02-26,NORTH CAROLINA,1405,27.18861209964413,0,605
6221458840741654807e248d,2022-02-28,UTAH,353,29.41926345609065,0,192
6221458840741654807e248e,2022-03-01,TEXAS,5782,26.764441369768246,7,2720
6221458840741654807e248f,2022-03-02,LOUISIANA,535,27.14018691588785,1,303
6221458840741654807e2490,2022-03-02,MARYLAND,437,26.39588100686499,0,368
6221458840741654807e2491,2022-02-27,NORTH DAKOTA,5,28.4,0,3
6221458840741654807e2492,2022-02-27,HAWAII,19,24.263157894736842,0,12
6221458840741654807e2493,2022-02-27,NEW YORK,1549,26.549386701097482,0,711
6221458840741654807e2494,2022-02-25,ONTARIO,464,28.30387931034483,1,299
6221458840741654807e2495,2022-03-02,PENNSYLVANIA,770,26.87792207792208,0,541
6221458840741654807e2496,2022-03-01,MISSOURI,295,27.433898305084746,1,149
6221458840741654807e2497,2022-02-25,CALIFORNIA,7813,26.177012671189043,28,3398
6221458840741654807e2498,2022-02-25,OHIO,1070,27.226168224299066,1,513
6221458840741654807e2499,2022-02-25,NEW MEXICO,100,25.71,0,24
6221458840741654807e249a,2022-02-28,MAINE,4,25.5,0,3
6221458840741654807e249b,2022-03-02,ONTARIO,286,28.765734265734267,1,250
6221458840741654807e249c,2022-02-28,GEORGIA,2435,26.949897330595483,2,1265
6221458840741654807e249d,2022-03-02,MINNESOTA,284,27.43661971830986,0,220
6221458840741654807e249e,2022-02-25,MICHIGAN,671,27.119225037257824,1,389
6221458840741654807e249f,2022-03-02,TENNESSEE,806,26.93548387096774,0,548
6221458840741654807e24a0,2022-03-02,MANITOBA,14,30.214285714285715,0,13
6221458840741654807e24a1,2022-03-02,WYOMING,4,24.75,0,4
6221458840741654807e24a2,2022-02-27,ALBERTA,114,30.605263157894736,1,85
6221458840741654807e24a3,2022-03-01,SOUTH DAKOTA,1,31.0,0,1
6221458840741654807e24a4,2022-02-25,INDIANA,457,27.522975929978116,1,250
6221458840741654807e24a5,2022-03-01,NEW YORK,1598,26.48811013767209,2,803
6221458840741654807e24a6,2022-03-02,NORTH CAROLINA,856,27.25,0,549
6221458840741654807e24a7,2022-02-26,WEST VIRGINIA,14,24.142857142857142,0,1
